"|||			The Batch {0} of an item {1} has negative stock in the warehouse {2}{3}.|||			Please add a stock quantity of {4} to proceed with this entry.|||			If it is not possible to make an adjustment entry, please enable 'Allow Negative Stock for Batch' in Stock Settings to proceed.|||			However, enabling this setting may lead to negative stock in the system.|||			So please ensure the stock levels are adjusted as soon as possible to maintain the correct valuation rate.","|||			Партия {0} номенклатуры {1} имеет отрицательные запасы на складе {2}{3}.|||			Добавьте количество на склад в размере {4} для продолжения данной записи.|||			Если невозможно произвести корректирующую запись, включите опцию «Разрешить отрицательные запасы для партии» в параметрах Запасов.|||			Однако включение этого параметра может привести к отрицательным запасам в системе.|||			Поэтому убедитесь, что уровни запасов скорректированы как можно скорее для сохранения корректной ставки оценки."
"Address","Адрес"
"Amount","Сумма"
"Is Child Table","Дочерняя таблица"
"Name","Наименование"
"Rate","Расценка"
"Summary","Сводка"
"to your browser","в ваш браузер"
"""Company History""","«История компании»"
"""Customer Provided Item"" cannot be Purchase Item also","«Номенклатура, поставляемая покупателем» не может быть одновременно номенклатурой покупки"
"""Customer Provided Item"" cannot have Valuation Rate","«Номенклатура, поставляемая покупателем» не может иметь ставку оценки"
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","«Основной актив» невозможно снять с отметки, так как существует запись актива для данной номенклатуры"
"""Parent"" signifies the parent table in which this row must be added","«Родитель» указывает на родительскую таблицу, в которую должна быть добавлена данная строка"
"""SN-01::10"" for ""SN-01"" to ""SN-10""","«SN-01::10» для диапазона «SN-01» по «SN-10»"
"""Team Members"" or ""Management""","«Члены команды» или «Руководство»"
"""amended_from"" field must be present to do an amendment.","Поле «amended_from» должно быть заполнено для выполнения корректировки."
"""{0}"" is not a valid Google Sheets URL","«{0}» не является действительным URL Google Sheets"
"# In Stock","# На складе"
"# Req'd Items","# Требуемых номенклатур"
"${values.doctype_name} has been added to queue for optimization","${values.doctype_name} добавлена в очередь оптимизации"
"%  Delivered","% Доставлено"
"% Amount Billed","% Сумма выставлена в счёт"
