"Submit","Провести"
"Submitted","Проведён"
"Cancel","Аннулировать"
"Cancelled","Аннулирован"
"Amend","Исправить"
"Amended","Исправлен"
"Draft","Черновик"
"Save","Сохранить"
"Close","Закрыть"
"Closed","Закрыт"
"Reopen","Открыть снова"
"Open","Открыт"
"In Progress","В работе"
"Completed","Завершён"
"Pending","Ожидает"
"Approved","Утверждён"
"Rejected","Отклонён"
"Overdue","Просрочен"
"Partially Ordered","Частично заказан"
"Partially Delivered","Частично отгружен"
"Fully Ordered","Полностью заказан"
"Fully Delivered","Полностью отгружен"
"To Deliver and Bill","К отгрузке и оплате"
"To Deliver","К отгрузке"
"To Bill","К оплате"
"Partially Manufactured","Частично изготовлен"
"Lead","Лид"
"Leads","Лиды"
"Opportunity","Сделка"
"Opportunities","Сделки"
"Quotation","Коммерческое предложение"
"Quotations","Коммерческие предложения"
"Customer","Клиент"
"Customers","Клиенты"
"Contact","Контакт"
"Contacts","Контакты"
"Address","Адрес"
"Campaign","Кампания"
"Source","Источник"
"Lost Reason","Причина проигрыша"
"Expected Close Date","Ожидаемая дата закрытия"
"Probability","Вероятность, %"
"Opportunity Amount","Сумма сделки"
"Next Contact By","Следующий контакт"
"Next Contact Date","Дата следующего контакта"
"Lead Owner","Ответственный"
"Opportunity Owner","Ответственный менеджер"
"Converted","Конвертирован"
"Sales Order","Заказ покупателя"
"Sales Orders","Заказы покупателей"
"Sales Invoice","Счёт покупателю"
"Sales Invoices","Счета покупателям"
"Delivery Note","Товарная накладная"
"Delivery Notes","Товарные накладные"
"Price List","Прайс-лист"
"Net Total","Сумма без НДС"
"Grand Total","Итого с НДС"
"Discount","Скидка"
"Discount %","Скидка, %"
"Tax","Налог"
"Taxes","Налоги"
"Rate","Цена"
"Qty","Кол-во"
"Amount","Сумма"
"Terms and Conditions","Условия договора"
"Order Type","Тип заказа"
"Purchase Order","Заказ поставщику"
"Purchase Orders","Заказы поставщикам"
"Purchase Invoice","Счёт поставщика"
"Purchase Invoices","Счета поставщиков"
"Purchase Receipt","Поступление товара"
"Purchase Receipts","Поступления товара"
"Supplier","Поставщик"
"Suppliers","Поставщики"
"Supplier Quotation","КП поставщика"
"Request for Quotation","Запрос КП"
"Material Request","Заявка на материалы"
"Material Requests","Заявки на материалы"
"Work Order","Производственный заказ"
"Work Orders","Производственные заказы"
"Bill of Materials","Спецификация"
"BOM","Спецификация"
"BOMs","Спецификации"
"Production Plan","План производства"
"Production Plans","Планы производства"
"Job Card","Рабочий наряд"
"Job Cards","Рабочие наряды"
"Operation","Операция"
"Operations","Операции"
"Workstation","Рабочий центр"
"Workstations","Рабочие центры"
"Scrap","Лом / Отходы"
"Finished Good","Готовая продукция"
"Semi-Finished Good","Полуфабрикат"
"Routing","Технологический маршрут"
"Routings","Технологические маршруты"
"Time Logs","Журнал времени"
"Manufactured Qty","Изготовлено"
"Planned Qty","Плановое количество"
"Actual Qty","Фактическое количество"
"Scrapped Qty","Списано в брак"
"Overproduction %","Допуск перепроизводства, %"
"Stock Reservation","Резервирование запасов"
"Reserved Stock","Зарезервированный запас"
"Serial and Batch Traceability","Прослеживаемость серий и партий"
"Stock Reservation for Work Orders","Резервирование под производственный заказ"
"Item","Номенклатура"
"Items","Номенклатура"
"Item Code","Код номенклатуры"
"Item Name","Наименование"
"Item Group","Группа номенклатуры"
"Item Groups","Группы номенклатуры"
"Warehouse","Склад"
"Warehouses","Склады"
"Stock Entry","Складская операция"
"Stock Entries","Складские операции"
"Material Transfer","Внутреннее перемещение"
"Material Issue","Списание материалов"
"Material Receipt","Поступление материалов"
"Opening Stock","Начальный остаток"
"Reorder Level","Точка дозаказа"
"Reorder Qty","Количество дозаказа"
"UOM","Ед. изм."
"Unit of Measure","Единица измерения"
"Valuation Rate","Учётная цена"
"Stock Balance","Остаток"
"Stock Ledger","Книга остатков"
"Batch","Партия"
"Serial No","Серийный номер"
"Expiry Date","Срок годности"
"Quality Inspection","Контроль качества"
"Chart of Accounts","План счетов"
"Journal Entry","Бухгалтерская запись"
"Journal Entries","Бухгалтерские записи"
"Payment Entry","Платёжное поручение"
"Payment Entries","Платёжные поручения"
"Account","Счёт"
"Accounts","Счета"
"Debit","Дебет"
"Credit","Кредит"
"Fiscal Year","Отчётный год"
"Cost Center","Центр затрат"
"Cost Centers","Центры затрат"
"Accounts Receivable","Дебиторская задолженность"
"Accounts Payable","Кредиторская задолженность"
"Balance Sheet","Бухгалтерский баланс"
"Profit and Loss","Отчёт о прибылях и убытках"
"Tax Template","Шаблон налогов"
"Bank Reconciliation","Сверка с банком"
"Employee","Сотрудник"
"Employees","Сотрудники"
"Department","Отдел"
"Departments","Отделы"
"Designation","Должность"
"Salary Slip","Расчётный листок"
"Leave Application","Заявление на отпуск"
"Attendance","Табель посещаемости"
"Payroll","Расчёт зарплаты"
"New","Создать"
"Edit","Редактировать"
"Delete","Удалить"
"Duplicate","Дублировать"
"Print","Печать"
"Export","Экспорт"
"Import","Импорт"
"Refresh","Обновить"
"Assign To","Назначить"
"Add Tags","Добавить теги"
"Share","Поделиться"
"Attach","Прикрепить"
"Email","Отправить по почте"
"Loading...","Загрузка..."
"No Data","Нет данных"
"Filters","Фильтры"
"Columns","Столбцы"
"Group By","Группировать по"
"Select All","Выбрать всё"
"Not permitted","Нет доступа"
"Mandatory field required","Обязательное поле"
"Value already exists","Значение уже существует"
"Search","Поиск"
"Settings","Настройки"
"Log Out","Выйти"
"Notifications","Уведомления"
"Help","Помощь"
"Profile","Профиль"
"Home","Главная"
"Dashboard","Дашборд"
"Reports","Отчёты"
"Analytics","Аналитика"
"Quick Access","Быстрый доступ"
"Recents","Недавние"
"Favourites","Избранное"
"Workspaces","Рабочие пространства"
"Filter","Фильтр"
"Sort","Сортировка"
"Assign","Назначить"
"Cutting","Резка"
"Bending","Гибка"
"Welding","Сварка"
"Painting","Окраска"
"Assembly","Сборка"
"Drawing","Чертёж"
"Drawings","Чертежи"
"Steel Grade","Марка стали"
"Profile Type","Тип профиля"
"Angle Iron","Уголок"
"Channel","Швеллер"
"I-Beam","Двутавр"
"Rebar","Арматура"
"Pipe","Труба"
"Flat Bar","Полоса"
"Weight","Масса, кг"
"Length","Длина, мм"
"Thickness","Толщина, мм"
"Width","Ширина, мм"
"Paint Area","Площадь окраски, м²"
"Blank","Заготовка"
"Remnant","Остаток материала"
